tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;Total ;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;punto;term;rec;ron;multi;saldo anterior 
21647;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13052;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21648;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;13053;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21649;05/02/2021;28/02/2021;1613;0;0;0;1613;;;due;13054;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-23387
21650;05/02/2021;28/02/2021;47359;0;0;3992;51351;;;due;13055;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;26351
21651;05/02/2021;28/02/2021;12000;0;0;0;12000;;;due;13056;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-13000
21652;05/02/2021;28/02/2021;19500;0;0;0;19500;;;due;13057;26;;2;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Suspendido;0;-25500
21653;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;13058;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21654;05/02/2021;28/02/2021;16500;0;0;0;16500;;;due;13059;26;;2;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Suspendido;0;-28500
21655;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13060;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21656;05/02/2021;28/02/2021;-20161;0;0;0;-20161;Cash;;paid;13061;26;;2;yes;0;%;Villanueva;Television;10Megasv;no;0;no;Suspendido;0;-100161
21657;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13062;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21658;05/02/2021;28/02/2021;2903;0;0;0;2903;;;due;13063;26;;2;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Suspendido;0;-42097
21659;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13064;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21660;05/02/2021;28/02/2021;4879;0;0;0;4879;;;due;13065;26;;2;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Suspendido;0;-40121
21661;05/02/2021;28/02/2021;71008;0;0;3992;75000;;;due;13066;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;50000
21662;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13067;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21663;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13068;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21664;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;13069;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21665;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;13070;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;11000
21666;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13071;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21667;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13072;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21668;05/02/2021;28/02/2021;104008;0;0;3992;108000;;;due;13073;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;83000
21669;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13074;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21670;05/02/2021;28/02/2021;1667;0;0;0;1667;;;due;13075;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-23333
